Page,Top Fold,Bottom Fold
346,Fold,back,completely.
344,9.8,10.7
342,9.4,11.1
340,9.1,11.3
338,8.9,11.5
336,8.7,11.6
334,8.6,11.7
332,8.5,11.8
330,8.4,11.9
328,8.3,12.0
326,8.2,12.1
324,8.1,12.2
322,8.1,12.2
320,8.0,12.3
318,8.0,12.3
316,8.0,12.4
314,8.0,12.4
312,8.0,12.5
310,8.0,12.5
308,8.0,12.6
306,8.0,12.6
304,8.0,12.6
302,8.1,12.6
300,8.1,12.6
298,8.2,12.7
296,8.2,12.7
294,8.3,12.7
292,14.7,15.8
290,8.4,12.6
288,14.2,16.2
286,8.6,12.6
284,13.9,16.5
282,8.8,12.5
280,13.7,16.7
278,9.1,12.4
276,13.5,16.9
274,6.9,8.1
272,9.5,12.3
270,13.3,17.0
268,6.2,8.7
266,10.0,11.9
264,13.1,17.2
262,5.7,9.1
260,12.9,17.3
258,5.5,9.3
256,12.8,17.3
254,5.3,9.4
252,12.6,17.4
250,5.1,9.6
248,12.4,17.4
246,4.9,9.7
244,12.2,17.4
242,4.8,9.8
240,12.0,17.4
238,4.7,9.8
236,11.8,17.4
234,4.6,9.9
232,11.5,17.4
230,4.5,9.9
228,11.3,17.4
226,4.5,9.9
224,11.0,17.3
222,4.5,9.9
220,10.8,17.3
218,4.5,9.8
216,10.6,17.3
214,4.5,9.8
212,10.5,17.2
210,4.6,9.7
208,10.4,17.2
206,4.8,9.6
204,10.3,17.1
202,5.0,9.4
200,10.2,17.1
198,5.3,9.3
196,10.1,17.1
194,5.8,9.0
192,10.1,17.1
190,6.4,8.7
188,10.0,17.0
186,7.2,8.1
184,10.0,17.0
182,10.0,17.0
180,10.0,17.0
178,10.0,17.0
176,10.0,17.0
174,10.0,17.0
172,10.0,17.0
170,10.0,17.0
168,10.0,17.0
166,6.8,8.5
164,10.1,17.1
162,6.1,8.9
160,10.2,17.1
158,5.5,9.2
156,10.2,17.1
154,5.2,9.4
152,10.3,17.2
150,4.9,9.5
148,10.5,17.2
146,4.7,9.6
144,10.7,17.2
142,4.6,9.7
140,10.9,17.2
138,4.5,9.8
136,11.1,17.3
134,4.5,9.8
132,11.3,17.3
130,4.5,9.9
128,11.5,17.3
126,4.5,9.9
124,11.7,17.3
122,4.6,9.9
120,11.9,17.3
118,4.6,9.8
116,12.1,17.3
114,4.7,9.8
112,12.3,17.2
110,4.8,9.7
108,12.4,17.2
106,5.0,9.6
104,12.6,17.2
102,5.2,9.5
100,12.8,17.1
98,5.3,9.4
96,12.9,17.1
94,5.6,9.2
92,10.6,11.4
90,13.2,17.0
88,6.0,8.9
86,9.8,12.0
84,13.4,16.9
82,6.6,8.3
80,9.3,12.3
78,9.2,12.4
76,13.8,16.6
74,9.0,12.5
72,14.1,16.3
70,8.7,12.6
68,14.4,15.9
66,8.6,12.6
64,8.4,12.6
62,8.4,12.7
60,8.3,12.7
58,8.2,12.7
56,8.2,12.7
54,8.1,12.7
52,8.1,12.6
50,8.0,12.6
48,8.0,12.6
46,8.0,12.6
44,8.0,12.5
42,8.0,12.5
40,8.0,12.4
38,8.0,12.4
36,8.0,12.3
34,8.0,12.3
32,8.1,12.2
30,8.1,12.2
28,8.2,12.1
26,8.3,12.0
24,8.4,11.9
22,8.5,11.8
20,8.6,11.7
18,8.7,11.6
16,8.9,11.5
14,9.1,11.3
12,9.3,11.1
10,9.7,10.8
8,Fold,back,completely.
