Page,Top Fold,Bottom Fold
356,No,folds.
354,No,folds.
352,No,folds.
350,No,folds.
348,No,folds.
346,No,folds.
344,No,folds.
342,No,folds.
340,No,folds.
338,No,folds.
336,No,folds.
334,No,folds.
332,No,folds.
330,No,folds.
328,No,folds.
326,No,folds.
324,No,folds.
322,12.08,20.80
320,0.00,9.27
318,12.86,20.80
316,0.00,8.33
314,12.77,20.80
312,0.00,7.65
310,12.68,20.80
308,0.00,7.11
306,12.59,20.80
304,0.00,6.64
302,12.50,20.80
300,0.00,6.23
298,12.40,20.80
296,0.00,5.87
294,12.29,20.80
292,0.00,5.54
290,12.19,20.80
288,0.00,5.24
286,12.07,20.80
284,0.00,4.96
282,11.95,20.80
280,0.00,4.71
278,11.82,20.80
276,0.00,4.47
274,11.71,20.80
272,0.00,4.25
270,11.61,20.80
268,0.00,4.05
266,11.54,20.80
264,0.00,3.87
262,11.48,20.80
260,0.00,3.69
258,11.43,20.80
256,0.00,3.53
254,11.40,20.80
252,0.00,3.38
250,11.37,20.80
248,0.00,3.24
246,11.35,20.80
244,0.00,3.11
242,11.35,20.80
240,0.00,2.99
238,11.35,20.80
236,0.00,2.89
234,11.35,20.80
232,0.00,2.78
230,11.36,20.80
228,0.00,2.69
226,11.37,20.80
224,0.00,2.61
222,11.39,19.42
220,19.65,20.80
218,0.00,2.50
216,11.41,19.30
214,19.74,20.80
212,0.00,2.41
210,11.43,19.18
208,11.43,19.13
206,19.84,20.80
204,0.00,2.31
202,6.81,10.32
200,11.25,18.96
198,6.35,18.91
196,19.93,20.80
194,0.00,2.24
192,5.84,18.77
190,19.96,20.80
188,0.00,2.21
186,5.50,18.61
184,19.97,20.80
182,0.00,2.21
180,5.28,18.44
178,19.97,20.80
176,0.00,2.22
174,5.15,18.24
172,19.95,20.80
170,0.00,2.24
168,5.08,18.02
166,19.91,20.80
164,0.00,2.28
162,5.06,9.01
160,9.70,17.66
158,19.84,20.80
156,0.00,2.36
154,5.12,8.49
152,10.49,17.23
150,19.74,20.80
148,0.00,2.47
146,5.30,8.12
144,11.14,16.68
142,19.61,20.80
140,0.00,2.61
138,5.63,8.03
136,11.91,15.94
134,19.44,20.80
132,0.00,2.78
130,6.42,8.19
128,13.58,14.35
126,6.82,8.30
124,19.19,20.80
122,0.00,3.05
120,7.20,8.40
118,19.00,20.80
116,0.00,3.24
114,7.47,8.47
112,18.80,20.80
110,0.00,3.46
108,7.66,8.49
106,18.57,20.80
104,0.00,3.69
102,7.88,8.47
100,18.31,20.80
98,0.00,3.96
96,8.16,8.38
94,18.03,20.80
92,0.00,4.26
90,17.82,20.80
88,0.00,4.47
86,17.59,20.80
84,0.00,4.71
82,17.35,20.80
80,0.00,4.96
78,17.09,20.80
76,0.00,5.24
74,16.80,20.80
72,0.00,5.54
70,16.48,20.80
68,0.00,5.87
66,16.14,20.80
64,0.00,6.23
62,15.75,20.80
60,0.00,6.64
58,15.31,20.80
56,0.00,7.11
54,14.80,20.80
52,0.00,7.65
50,14.21,20.80
48,0.00,8.33
46,13.42,20.80
44,0.00,9.27
42,12.07,20.80
40,No,folds.
38,No,folds.
36,No,folds.
34,No,folds.
32,No,folds.
30,No,folds.
28,No,folds.
26,No,folds.
24,No,folds.
22,No,folds.
20,No,folds.
18,No,folds.
16,No,folds.
14,No,folds.
12,No,folds.
10,No,folds.
8,0.00,20.29
