Page,Top Fold,Bottom Fold
458,Fold,back,completely.
456,6.92,7.89
454,6.89,8.26
452,6.97,8.38
450,7.04,8.46
448,7.09,8.52
446,7.12,8.57
444,7.15,8.62
442,7.16,8.66
440,7.16,8.69
438,7.16,8.73
436,7.16,8.75
434,7.16,8.77
432,7.16,8.79
430,7.16,8.80
428,7.16,8.81
426,7.16,8.82
424,7.16,8.82
422,7.16,8.83
420,7.17,8.84
418,7.17,8.87
416,7.17,8.90
414,7.18,8.95
412,7.19,9.02
410,7.21,9.14
408,7.23,12.98
406,7.26,12.95
404,7.30,12.92
402,7.35,12.87
400,7.40,12.82
398,7.04,12.70
396,6.81,12.35
394,6.89,11.98
392,6.97,11.55
390,7.03,10.98
388,7.07,8.64
386,7.10,8.68
384,7.11,8.70
382,7.12,8.72
380,7.12,8.74
378,5.36,5.90
376,7.12,8.76
374,5.25,6.02
372,5.23,8.77
370,5.23,8.77
368,5.24,8.78
366,5.26,6.01
364,7.12,8.78
362,5.38,5.90
360,7.12,8.78
358,7.12,8.78
356,7.12,8.78
354,7.12,8.78
352,7.12,8.78
350,7.12,8.78
348,7.12,8.78
346,7.12,8.78
344,7.12,8.78
342,7.12,8.78
340,7.12,8.78
338,7.12,8.78
336,7.12,8.78
334,7.12,8.78
332,7.12,8.78
330,7.12,8.78
328,7.12,8.78
326,7.12,8.78
324,7.12,8.78
322,7.12,8.78
320,7.12,8.78
318,7.12,8.78
316,7.12,8.78
314,7.12,8.78
312,7.12,8.78
310,7.12,8.78
308,7.12,8.78
306,7.12,8.78
304,7.12,8.78
302,7.12,8.78
300,7.12,8.78
298,7.12,8.78
296,7.12,8.78
294,7.12,8.78
292,7.12,8.78
290,7.12,8.78
288,7.12,8.78
286,7.12,8.78
284,7.12,8.78
282,7.12,8.78
280,7.12,8.78
278,7.12,12.75
276,7.12,12.86
274,7.12,12.92
272,7.12,12.95
270,7.12,12.91
268,7.12,12.84
266,7.12,12.77
264,7.12,12.70
262,7.12,12.62
260,9.17,12.54
258,7.12,8.78
256,9.90,12.35
254,7.12,8.78
252,10.60,12.07
250,7.12,8.78
248,7.12,8.78
246,7.12,8.74
244,7.12,8.66
242,7.16,8.50
240,6.78,8.19
238,6.87,8.26
236,6.95,8.36
234,7.01,8.43
232,7.06,8.49
230,7.09,8.55
228,7.11,8.59
226,7.12,8.63
224,7.12,8.66
222,7.12,8.69
220,7.12,8.72
218,7.12,8.74
216,7.12,8.75
214,7.12,8.76
212,7.12,8.77
210,7.12,8.78
208,7.12,8.78
206,7.12,8.78
204,7.12,8.80
202,7.12,8.83
200,7.13,8.87
198,7.14,8.92
196,7.15,9.00
194,7.17,9.16
192,7.19,12.94
190,7.22,12.91
188,7.27,12.87
186,7.32,12.83
184,7.38,12.77
182,7.44,12.58
180,7.53,12.22
178,6.83,11.82
176,6.87,11.55
174,6.95,11.68
172,12.80,13.00
170,7.07,8.42
168,10.21,12.96
166,7.13,8.54
164,5.49,5.86
162,7.14,8.63
160,9.83,12.58
158,5.29,6.07
156,9.67,12.37
154,5.27,8.75
152,10.35,12.14
150,7.15,8.78
148,11.10,11.84
146,5.44,5.92
144,7.15,8.79
142,7.15,8.79
140,7.15,8.79
138,7.15,8.79
136,7.15,8.79
134,7.15,8.79
132,7.15,8.79
130,7.15,8.79
128,7.15,8.79
126,7.15,8.79
124,7.15,8.79
122,7.15,8.79
120,7.15,8.79
118,7.15,8.79
116,7.15,8.79
114,7.15,8.79
112,7.15,8.79
110,7.15,8.79
108,7.15,8.79
106,7.15,8.79
104,7.15,8.79
102,7.15,8.79
100,7.15,8.79
98,7.15,8.79
96,7.15,8.79
94,7.15,8.79
92,7.15,8.79
90,7.15,8.79
88,7.15,8.79
86,7.15,8.79
84,7.15,8.79
82,7.15,8.79
80,7.15,8.79
78,7.15,8.79
76,7.15,8.79
74,7.15,8.79
72,7.15,8.79
70,7.15,8.79
68,7.15,8.79
66,7.15,8.79
64,7.15,8.79
62,7.15,8.79
60,7.15,8.79
58,7.15,8.79
56,7.15,8.79
54,7.15,8.79
52,7.15,8.79
50,7.15,8.79
48,7.15,8.79
46,7.15,8.79
44,7.15,12.77
42,7.15,12.86
40,7.15,12.93
38,7.15,12.95
36,7.15,12.89
34,7.15,12.82
32,7.15,12.75
30,7.15,12.67
28,8.98,12.60
26,7.15,8.79
24,9.70,12.42
22,7.15,8.79
20,10.41,12.17
18,7.15,8.75
16,11.13,11.68
14,7.16,8.55
12,7.23,8.34
10,7.50,7.93
8,Fold,back,completely.
