Page,Top Fold,Bottom Fold
474,Fold,back,completely.
472,Fold,back,completely.
470,13.92,14.70
468,13.53,14.70
466,13.25,14.70
464,13.05,14.70
462,12.90,14.70
460,12.79,14.70
458,7.38,8.94
456,12.72,14.70
454,7.54,9.17
452,12.72,14.70
450,7.67,9.31
448,12.72,14.70
446,12.72,14.70
444,5.65,6.19
442,7.76,9.52
440,12.72,14.70
438,5.47,6.38
436,12.72,14.70
434,5.44,9.66
432,12.72,14.70
430,5.46,9.70
428,12.72,14.70
426,5.54,6.31
424,7.76,9.73
422,12.72,14.70
420,12.72,14.70
418,7.76,9.73
416,12.72,14.70
414,7.76,9.73
412,12.72,14.70
410,7.76,9.73
408,12.72,14.70
406,7.76,9.73
404,12.72,14.70
402,7.76,9.73
400,12.72,14.70
398,7.76,9.73
396,12.72,14.70
394,7.76,9.73
392,12.72,14.70
390,7.76,9.73
388,12.72,14.70
386,7.76,9.73
384,12.72,14.70
382,7.76,9.73
380,12.72,14.70
378,7.76,9.73
376,12.72,14.70
374,7.76,9.73
372,12.72,14.70
370,7.76,9.73
368,12.72,14.70
366,7.76,9.73
364,12.72,14.70
362,7.76,9.73
360,12.72,14.70
358,7.76,9.73
356,12.72,14.70
354,7.76,9.73
352,12.72,14.70
350,7.76,9.73
348,12.72,14.70
346,7.76,9.73
344,12.72,14.70
342,7.76,9.73
340,12.72,14.70
338,7.76,9.73
336,12.72,14.70
334,7.76,9.73
332,12.72,14.70
330,7.76,9.73
328,12.72,14.70
326,7.77,9.73
324,12.72,14.70
322,7.79,9.73
320,12.72,14.70
318,7.82,9.73
316,12.72,14.70
314,7.87,9.73
312,7.90,14.70
310,7.94,14.70
308,7.98,14.70
306,8.02,14.70
304,8.08,14.70
302,8.14,14.70
300,8.23,14.70
298,8.34,14.70
296,8.48,14.70
294,7.36,14.70
292,7.44,14.70
290,7.53,9.20
288,12.71,14.70
286,7.66,9.35
284,12.68,14.70
282,7.72,9.46
280,12.64,14.67
278,7.76,9.54
276,12.58,14.52
274,7.76,9.61
272,12.52,14.17
270,7.76,9.66
268,12.45,13.57
266,7.76,9.70
264,12.37,12.56
262,7.76,9.72
260,7.76,9.73
258,7.76,9.73
256,7.76,9.73
254,7.76,9.74
252,7.76,9.75
250,7.76,9.77
248,7.77,9.81
246,7.77,9.85
244,7.78,9.90
242,7.80,9.97
240,7.81,10.08
238,7.83,14.69
236,7.86,14.68
234,7.89,14.64
232,7.93,14.61
230,7.35,14.56
228,7.43,14.51
226,6.16,6.68
224,7.60,14.14
222,6.01,6.83
220,7.71,13.40
218,5.94,7.16
216,7.75,12.42
214,5.94,11.45
212,7.04,9.58
210,5.98,6.83
208,7.72,9.64
206,6.10,6.70
204,7.76,9.67
202,11.33,11.70
200,14.48,14.70
198,7.76,9.71
196,13.47,14.70
194,10.37,14.70
192,5.23,6.01
190,7.76,9.73
188,5.15,14.70
186,5.14,14.70
184,5.14,14.70
182,5.14,14.70
180,7.76,14.70
178,5.21,6.04
176,12.72,14.70
174,5.35,5.90
172,7.78,9.73
170,7.79,9.73
168,12.72,14.70
166,7.82,9.73
164,12.72,14.70
162,6.13,6.88
160,7.33,9.73
158,6.04,9.73
156,12.72,14.70
154,7.99,9.75
152,12.72,14.70
150,6.05,6.94
148,8.14,9.86
146,12.72,14.70
144,6.22,6.75
142,8.41,10.07
140,12.72,14.70
138,12.72,14.70
136,12.72,14.70
134,12.72,14.70
132,12.72,14.70
130,12.72,14.70
128,12.72,14.70
126,11.44,11.58
124,12.72,14.70
122,11.01,11.34
120,12.72,14.70
118,10.62,11.11
116,12.72,14.70
114,10.20,10.89
112,12.72,14.70
110,9.79,10.69
108,12.72,14.70
106,9.28,10.51
104,12.72,14.70
102,8.55,10.36
100,12.72,14.70
98,7.53,10.23
96,12.72,14.70
94,7.52,10.12
92,12.72,14.70
90,7.51,10.03
88,12.72,14.70
86,7.51,9.97
84,12.72,14.70
82,7.51,9.92
80,12.72,14.70
78,7.51,9.90
76,12.71,14.70
74,7.52,9.90
72,12.69,14.67
70,7.53,9.91
68,12.66,14.63
66,7.54,9.93
64,12.61,14.56
62,7.56,9.96
60,12.53,14.48
58,7.59,10.00
56,12.44,14.39
54,7.65,10.06
52,12.32,14.27
50,7.72,10.14
48,12.18,14.15
46,7.79,10.26
44,11.98,14.01
42,7.87,10.45
40,11.69,13.86
38,7.97,10.91
36,8.03,13.68
34,8.10,13.59
32,8.18,13.49
30,8.28,13.38
28,8.39,13.27
26,8.49,13.15
24,8.62,13.01
22,8.77,12.85
20,8.94,12.68
18,9.13,12.49
16,9.37,12.26
14,9.71,11.97
12,10.19,11.53
