Page,Top Fold,Bottom Fold
298,Fold,back,completely.
296,14.03,14.79
294,13.47,14.79
292,13.13,14.79
290,12.93,14.79
288,12.84,14.79
286,7.72,9.33
284,12.84,14.79
282,7.90,9.54
280,5.90,6.36
278,7.94,9.70
276,12.84,14.79
274,5.66,9.80
272,12.84,14.79
270,12.84,14.79
268,5.77,6.50
266,7.94,9.89
264,12.84,14.79
262,7.94,9.89
260,12.84,14.79
258,7.94,9.89
256,12.84,14.79
254,7.94,9.89
252,12.84,14.79
250,7.94,9.89
248,12.84,14.79
246,7.94,9.89
244,12.84,14.79
242,7.94,9.89
240,12.84,14.79
238,7.94,9.89
236,12.84,14.79
234,7.94,9.89
232,12.84,14.79
230,7.94,9.89
228,12.84,14.79
226,7.94,9.89
224,12.84,14.79
222,7.94,9.89
220,12.84,14.79
218,7.94,9.89
216,12.84,14.79
214,7.94,9.89
212,12.84,14.79
210,7.94,9.89
208,12.84,14.79
206,7.96,9.89
204,12.84,14.79
202,7.99,9.89
200,12.84,14.79
198,8.06,9.89
196,8.11,14.79
194,8.18,14.79
192,8.26,14.79
190,8.38,14.79
188,8.54,14.79
186,7.61,14.79
184,7.74,14.79
182,7.84,9.51
180,12.80,14.79
178,7.93,9.67
176,12.73,14.72
174,7.94,9.78
172,12.64,14.26
170,7.94,9.85
168,12.52,13.08
166,7.94,9.88
164,7.94,9.89
162,7.94,9.90
160,7.95,9.92
158,7.95,9.97
156,7.97,10.04
154,7.98,10.15
152,8.01,14.78
150,8.06,14.75
148,7.54,14.69
146,6.41,6.83
144,7.80,14.47
142,6.18,7.06
140,7.93,13.30
138,6.15,12.48
136,7.44,9.76
134,6.25,6.96
132,7.94,9.83
130,7.94,9.85
128,10.88,12.76
126,10.59,14.79
124,5.44,6.23
122,5.38,9.89
120,5.35,14.79
118,5.36,14.79
116,7.95,14.79
114,12.84,14.79
112,5.70,5.97
110,7.98,9.89
108,12.84,14.79
106,6.36,7.05
104,7.44,9.89
102,6.23,9.89
100,6.23,7.49
98,8.26,9.96
96,12.84,14.79
94,6.45,6.92
92,12.84,14.79
90,12.84,14.79
88,12.84,14.79
86,12.84,14.79
84,12.84,14.79
82,11.41,11.62
80,12.84,14.79
78,10.77,11.25
76,12.84,14.79
74,10.12,10.91
72,12.84,14.79
70,9.33,10.63
68,12.84,14.79
66,7.72,10.41
64,12.84,14.79
62,7.70,10.24
60,12.84,14.79
58,7.70,10.12
56,12.84,14.79
54,7.70,10.06
52,12.83,14.79
50,7.71,10.06
48,12.80,14.74
46,7.73,10.08
44,12.72,14.65
42,7.75,10.12
40,12.60,14.51
38,7.83,10.21
36,12.41,14.34
34,7.94,10.35
32,12.14,14.13
30,8.06,10.64
28,11.56,13.88
26,8.24,13.74
24,8.37,13.58
22,8.53,13.42
20,8.70,13.22
18,8.92,12.99
16,9.19,12.71
14,9.56,12.35
12,10.16,11.84
