Page,Top Fold,Bottom Fold
332,Fold,back,completely.
330,Fold,back,completely.
328,Fold,back,completely.
326,Fold,back,completely.
324,Fold,back,completely.
322,Fold,back,completely.
320,Fold,back,completely.
318,10.08,10.34
316,9.91,10.35
314,9.74,10.35
312,9.57,10.35
310,9.39,10.35
308,9.22,10.32
306,9.04,10.24
304,8.86,10.11
302,8.69,9.98
300,8.51,9.84
298,8.32,9.69
296,8.14,9.55
294,7.94,9.40
292,7.75,9.25
290,7.63,9.10
288,7.57,8.95
286,7.56,8.80
284,7.56,8.82
282,11.98,12.74
280,14.10,14.20
278,7.56,9.39
276,7.56,9.47
274,11.15,14.08
272,6.24,6.76
270,8.05,9.66
268,10.81,13.69
266,10.72,13.55
264,6.07,9.76
262,11.85,13.22
260,6.17,6.84
258,8.06,9.80
256,8.06,9.80
254,8.06,9.80
252,8.06,9.80
250,8.06,9.80
248,8.06,9.80
246,8.06,9.80
244,8.06,9.80
242,8.06,9.80
240,8.06,9.80
238,8.06,9.80
236,8.06,9.80
234,8.06,9.80
232,8.06,9.80
230,8.06,9.80
228,8.06,9.80
226,8.06,9.80
224,8.06,9.80
222,8.06,9.80
220,8.06,9.80
218,8.06,9.80
216,8.06,9.80
214,8.06,9.80
212,8.06,9.80
210,8.06,9.80
208,8.06,9.80
206,8.06,9.80
204,8.06,9.80
202,8.06,9.80
200,8.06,9.80
198,8.06,9.80
196,8.06,9.80
194,8.06,9.80
192,8.06,9.80
190,8.06,9.80
188,8.06,9.80
186,8.06,9.80
184,3.58,4.56
182,8.06,9.80
180,3.22,4.77
178,8.06,13.93
176,2.92,4.90
174,8.06,14.19
172,2.68,4.97
170,8.06,14.09
168,2.46,5.01
166,8.06,13.90
164,3.16,5.05
162,8.06,9.80
160,3.25,9.80
158,11.57,13.35
156,5.65,9.73
154,5.99,9.60
152,3.44,5.08
150,6.64,9.55
148,3.53,4.80
146,7.12,9.80
144,3.65,4.48
142,7.49,9.80
140,7.62,9.80
138,7.72,9.80
136,7.82,9.80
134,7.91,9.80
132,7.98,9.80
130,8.04,9.80
128,8.04,9.80
126,8.04,9.80
124,8.04,9.80
122,8.04,9.80
120,8.04,9.80
118,8.04,9.80
116,8.04,9.80
114,8.04,9.80
112,8.04,9.80
110,8.04,9.80
108,8.04,9.80
106,13.38,13.87
104,8.04,9.80
102,13.04,14.12
100,8.04,9.80
98,12.82,14.22
96,8.04,9.80
94,12.63,14.25
92,8.04,9.80
90,12.47,14.23
88,8.04,9.80
86,12.32,14.16
84,12.25,13.03
82,13.53,14.07
80,8.04,9.80
78,12.06,12.74
76,13.70,13.86
74,11.90,12.60
72,8.04,9.80
70,11.78,12.48
68,8.04,9.80
66,11.66,12.38
64,8.04,9.80
62,11.54,12.28
60,8.04,9.80
58,11.40,12.17
56,8.04,9.80
54,11.20,12.07
52,8.04,9.84
50,10.92,11.97
48,8.04,9.97
46,8.04,11.86
44,8.04,11.80
42,8.04,11.75
40,8.05,11.68
38,8.07,11.61
36,8.12,11.55
34,8.18,11.47
32,8.27,11.38
30,8.39,11.28
28,8.54,11.15
26,8.75,10.86
24,9.06,10.42
22,Fold,back,completely.
20,Fold,back,completely.
18,Fold,back,completely.
16,Fold,back,completely.
14,Fold,back,completely.
12,Fold,back,completely.
10,Fold,back,completely.
8,Fold,back,completely.
